A;209;20090706 01:32;VALNET;
C;209;2067673;27;20090706 01:32;4/SP5309;
D;209;2067673;27;20090706 01:32;P;;;;;;
D;209;2067673;27;20090706 01:32;V;;;;;;
B;209;2075893;28;20090706 01:32;;6;22;TOWER ST;VAUCLUSE;2030;;;20090123;20090320;550000;;R;RESIDENCE;12;;;0;AE768542;
C;209;2075893;28;20090706 01:32;12/SP2777;
D;209;2075893;28;20090706 01:32;P;;;;;;
D;209;2075893;28;20090706 01:32;P;;;;;;
D;209;2075893;28;20090706 01:32;V;;;;;;
B;209;2065261;29;20090706 01:32;;5;2;MARNE ST;VAUCLUSE;2030;;;20090505;20090616;406500;;R;RESIDENCE;5;;;0;AE763303;
C;209;2065261;29;20090706 01:32;5/SP10;
D;209;2065261;29;20090706 01:32;P;;;;;;
D;209;2065261;29;20090706 01:32;V;;;;;;
D;209;2065261;29;20090706 01:32;V;;;;;;
B;209;2067899;30;20090706 01:32;;8;24;OCEAN ST;BONDI;2026;;;20090527;20090618;650000;;R;RESIDENCE;8;;;0;AE771335;
C;209;2067899;30;20090706 01:32;8/SP1273;
D;209;2067899;30;20090706 01:32;P;;;;;;
D;209;2067899;30;20090706 01:32;V;;;;;;
D;209;2067899;30;20090706 01:32;V;;;;;;
B;209;2070760;31;20090706 01:32;;2;40;PACIFIC ST;BRONTE;2024;;;20090311;20090514;735000;;R;RESIDENCE;2;;;0;AE762904;
C;209;2070760;31;20090706 01:32;2/SP13331;
D;209;2070760;31;20090706 01:32;P;;;;;;
D;209;2070760;31;20090706 01:32;P;;;;;;
D;209;2070760;31;20090706 01:32;V;;;;;;
D;209;2070760;31;20090706 01:32;V;;;;;;
B;209;2073367;32;20090706 01:32;;;16;ROBERTS ST;ROSE BAY;2029;316.2;M;20090318;20090601;1480000;A;R;RESIDENCE;;GP;;0;AE760299;
C;209;2073367;32;20090706 01:32;13/2/975146;
D;209;2073367;32;20090706 01:32;P;;;;;;
D;209;2073367;32;20090706 01:32;P;;;;;;
D;209;2073367;32;20090706 01:32;V;;;;;;
D;209;2073367;32;20090706 01:32;V;;;;;;
B;209;2999076;33;20090706 01:32;;3;5;LUGAR ST;BRONTE;2024;;;20090422;20090603;532500;;R;RESIDENCE;3;;;0;AE770686;
C;209;2999076;33;20090706 01:32;3/SP70506;
D;209;2999076;33;20090706 01:32;P;;;;;;
D;209;2999076;33;20090706 01:32;V;;;;;;
D;209;2999076;33;20090706 01:32;V;;;;;;
B;209;3451803;34;20090706 01:32;;1;2 B;QUEENS PARK RD;QUEENS PARK;2022;143;M;20090325;20090527;698000;;R;RESIDENCE;1;;;0;AE757752;
C;209;3451803;34;20090706 01:32;1/SP82029;
D;209;3451803;34;20090706 01:32;P;;;;;;
D;209;3451803;34;20090706 01:32;P;;;;;;
D;209;3451803;34;20090706 01:32;V;;;;;;
D;209;3451803;34;20090706 01:32;V;;;;;;
D;209;3451803;34;20090706 01:32;V;;;;;;
B;209;3451803;35;20090706 01:32;;3;2 B;QUEENS PARK RD;QUEENS PARK;2022;82;M;20090313;20090605;660000;;R;RESIDENCE;3;;;0;AE769604;
C;209;3451803;35;20090706 01:32;3/SP82029;
D;209;3451803;35;20090706 01:32;P;;;;;;
D;209;3451803;35;20090706 01:32;P;;;;;;
D;209;3451803;35;20090706 01:32;V;;;;;;
D;209;3451803;35;20090706 01:32;V;;;;;;
D;209;3451803;35;20090706 01:32;V;;;;;;
B;209;3449874;36;20090706 01:32;;302;152;CAMPBELL PDE;BONDI BEACH;2026;;;20060905;20090515;6750000;;R;RESIDENCE;20;;;0;AE753379;
C;209;3449874;36;20090706 01:32;20/SP81899;
D;209;3449874;36;20090706 01:32;P;;;;;;
D;209;3449874;36;20090706 01:32;V;;;;;;
D;209;3449874;36;20090706 01:32;V;;;;;;
D;209;3449874;36;20090706 01:32;V;;;;;;
B;209;3449874;37;20090706 01:32;;701;152;CAMPBELL PDE;BONDI BEACH;2026;;;20090518;20090518;6750000;;R;RESIDENCE;27;;;0;AE774958;
C;209;3449874;37;20090706 01:32;27/SP81899;
D;209;3449874;37;20090706 01:32;P;;;;;;
D;209;3449874;37;20090706 01:32;V;;;;;;
D;209;3449874;37;20090706 01:32;V;;;;;;
D;209;3449874;37;20090706 01:32;V;;;;;;
B;209;3434041;38;20090706 01:32;;15;481;OLD SOUTH HEAD RD;ROSE BAY;2029;51;M;20090429;20090612;257000;;R;RESIDENCE;15;;;0;AE764643;
C;209;3434041;38;20090706 01:32;15/SP81645;
D;209;3434041;38;20090706 01:32;P;;;;;;
D;209;3434041;38;20090706 01:32;V;;;;;;
B;209;3456030;39;20090706 01:32;;4;1;CADIGAL PL;DOVER HEIGHTS;2030;;;20080715;20090612;1265000;;R;RESIDENCE;4;;;0;AE766344;
C;209;3456030;39;20090706 01:32;4/SP82193;
D;209;3456030;39;20090706 01:32;P;;;;;;
D;209;3456030;39;20090706 01:32;V;;;;;;
B;209;3178240;40;20090706 01:32;;3;29;WAVERLEY ST;BONDI JUNCTION;2022;;;20090506;20090617;370000;;R;RESIDENCE;3;;;0;AE768530;
C;209;3178240;40;20090706 01:32;3/SP75087;
D;209;3178240;40;20090706 01:32;P;;;;;;
D;209;3178240;40;20090706 01:32;V;;;;;;
B;209;3161158;41;20090706 01:32;;9;154;GLENAYR AVE;BONDI BEACH;2026;;;20090417;20090612;377500;;R;RESIDENCE;9;;;0;AE764960;
C;209;3161158;41;20090706 01:32;9/SP74558;
D;209;3161158;41;20090706 01:32;P;;;;;;
D;209;3161158;41;20090706 01:32;V;;;;;;
Z;210;41;41;126;
