A;102;20040202 11:46;PTHIRLWELL;
D;102;1114311;23;20040202 11:47;V;;;;;;
D;102;1114311;23;20040202 11:47;V;;;;;;
B;102;1114358;24;20040202 11:47;;;24;JASMINE ST;COLO VALE;2575;923.9;M;20031031;20031215;415000;Z;R;RESIDENCE;;CA;;0;AA319146;
C;102;1114358;24;20040202 11:47;24/17/2944;
D;102;1114358;24;20040202 11:47;P;;;;;;
D;102;1114358;24;20040202 11:47;P;;;;;;
D;102;1114358;24;20040202 11:47;V;;;;;;
B;102;1115181;25;20040202 11:47;OAK COTTAGE;;21;KINGS RD;MOSS VALE;2577;8007;M;20031028;20031215;780000;A;R;RESIDENCE;;EC;;0;AA320373;
C;102;1115181;25;20040202 11:47;1//622264;
D;102;1115181;25;20040202 11:47;P;;;;;;
D;102;1115181;25;20040202 11:47;P;;;;;;
D;102;1115181;25;20040202 11:47;V;;;;;;
D;102;1115181;25;20040202 11:47;V;;;;;;
B;102;1115406;26;20040202 11:47;;;;KYBER RD;YERRINBOOL;2575;6121;M;20031113;20031212;50000;R;V;VACANT LAND;;CP;;0;AA313359;
C;102;1115406;26;20040202 11:47;263//9882;
D;102;1115406;26;20040202 11:47;P;;;;;;
D;102;1115406;26;20040202 11:47;V;;;;;;
B;102;1115606;27;20040202 11:47;;;12;LEMON ST;BALMORAL;2571;1621;M;20030902;20031015;125000;Z;V;VACANT LAND;;DD;;0;AA345998;
C;102;1115606;27;20040202 11:47;21/2/2500;
D;102;1115606;27;20040202 11:47;P;;;;;;
D;102;1115606;27;20040202 11:47;P;;;;;;
D;102;1115606;27;20040202 11:47;V;;;;;;
B;102;1115658;28;20040202 11:47;;;16 A;LEOPOLD ST;MITTAGONG;2575;633.6;M;20031223;20040121;445000;A;R;RESIDENCE;;LG;;0;AA356799;
C;102;1115658;28;20040202 11:47;26//861292;
D;102;1115658;28;20040202 11:47;P;;;;;;
D;102;1115658;28;20040202 11:47;V;;;;;;
D;102;1115658;28;20040202 11:47;V;;;;;;
B;102;1115696;29;20040202 11:47;;;53;LIGAR ST;HILL TOP;2575;685.8;M;20031128;20031216;200000;Z;R;RESIDENCE;;CH;;0;AA328491;
C;102;1115696;29;20040202 11:47;2, 3, 4, 5//263552;
D;102;1115696;29;20040202 11:47;P;;;;;;
D;102;1115696;29;20040202 11:47;P;;;;;;
D;102;1115696;29;20040202 11:47;V;;;;;;
D;102;1115696;29;20040202 11:47;V;;;;;;
D;102;1115696;29;20040202 11:47;V;;;;;;
D;102;1115696;29;20040202 11:47;V;;;;;;
D;102;1115696;29;20040202 11:47;V;;;;;;
B;102;1115839;30;20040202 11:47;;;15;LINKS PL;WILLOW VALE;2575;1400;M;20030821;20031003;350000;Z;R;RESIDENCE;;DH;;0;AA338762;
C;102;1115839;30;20040202 11:47;10//840944;
D;102;1115839;30;20040202 11:47;P;;;;;;
D;102;1115839;30;20040202 11:47;V;;;;;;
D;102;1115839;30;20040202 11:47;V;;;;;;
B;102;1116012;31;20040202 11:47;;;16;LYELL ST;MITTAGONG;2575;1012;M;20031120;20031222;250000;A;R;RESIDENCE;;LG;;0;AA323988;
C;102;1116012;31;20040202 11:47;3/18/111201;
D;102;1116012;31;20040202 11:47;P;;;;;;
D;102;1116012;31;20040202 11:47;P;;;;;;
D;102;1116012;31;20040202 11:47;V;;;;;;
B;102;1116425;32;20040202 11:47;;;9;MARCHMONT DR;MITTAGONG;2575;4425;M;20030617;20031121;672000;A;R;RESIDENCE;;LJ;;0;AA324360;
C;102;1116425;32;20040202 11:47;46//1001412;
D;102;1116425;32;20040202 11:47;P;;;;;;
D;102;1116425;32;20040202 11:47;P;;;;;;
D;102;1116425;32;20040202 11:47;V;;;;;;
B;102;1116437;33;20040202 11:47;;;2;MARNEY CL;BOWRAL;2576;4082;M;20031121;20040107;560000;A;R;RESIDENCE;;NR;;0;AA350247;
C;102;1116437;33;20040202 11:47;421//881753;
D;102;1116437;33;20040202 11:47;P;;;;;;
D;102;1116437;33;20040202 11:47;P;;;;;;
D;102;1116437;33;20040202 11:47;V;;;;;;
D;102;1116437;33;20040202 11:47;V;;;;;;
B;102;1116549;34;20040202 11:47;;;35;MAY ST;ROBERTSON;2577;5191;M;20031107;20031219;590000;A;R;RESIDENCE;;DU;;0;AA339460;
C;102;1116549;34;20040202 11:47;2//1007974;
D;102;1116549;34;20040202 11:47;P;;;;;;
D;102;1116549;34;20040202 11:47;P;;;;;;
D;102;1116549;34;20040202 11:47;V;;;;;;
D;102;1116549;34;20040202 11:47;V;;;;;;
B;102;1116617;35;20040202 11:47;;;;MCCOURT RD;MOSS VALE;2577;6981;M;20031127;20031216;420000;I;R;RESIDENCE;;AF;;0;AA333598;
C;102;1116617;35;20040202 11:47;1//561356;
D;102;1116617;35;20040202 11:47;P;;;;;;
D;102;1116617;35;20040202 11:47;P;;;;;;
D;102;1116617;35;20040202 11:47;V;;;;;;
D;102;1116617;35;20040202 11:47;V;;;;;;
B;102;1117466;36;20040202 11:47;ROSE GARDEN;6;;MOSS VALE RD;BOWRAL;2576;;;20030815;20031201;485000;;R;RESIDENCE;6;;;0;AA320270;
C;102;1117466;36;20040202 11:47;6//SP 60700;
D;102;1117466;36;20040202 11:47;P;;;;;;
D;102;1117466;36;20040202 11:47;P;;;;;;
D;102;1117466;36;20040202 11:47;V;;;;;;
B;102;1117877;37;20040202 11:47;;;12;MYRTLE ST;COLO VALE;2575;1495;M;20031113;20031211;325000;Z;R;RESIDENCE;;CA;;0;AA317266;
C;102;1117877;37;20040202 11:47;1//839505;
D;102;1117877;37;20040202 11:47;P;;;;;;
D;102;1117877;37;20040202 11:47;V;;;;;;
B;102;1118535;38;20040202 11:47;;;;OLD HUME HWY;BRAEMAR;2575;8094;M;20030805;20031223;2300000;R;R;RESIDENCE;;DS;;0;AA321842;
C;102;1118535;38;20040202 11:47;2//607486;
D;102;1118535;38;20040202 11:47;P;;;;;;
D;102;1118535;38;20040202 11:47;V;;;;;;
B;102;1119821;39;20040202 11:47;;;;PEARCE ST;HILL TOP;2575;4046;M;20031007;20031126;335000;R;R;RESIDENCE;;CS;;0;AA345784;
C;102;1119821;39;20040202 11:47;3//569484;
D;102;1119821;39;20040202 11:47;P;;;;;;
D;102;1119821;39;20040202 11:47;P;;;;;;
D;102;1119821;39;20040202 11:47;V;;;;;;
D;102;1119821;39;20040202 11:47;V;;;;;;
B;102;1120434;40;20040202 11:47;;;82;RAILWAY AVE;COLO VALE;2575;731.6;M;20031209;20040122;307500;Z;R;RESIDENCE;;CA;;0;AA354614;
C;102;1120434;40;20040202 11:47;5//660292;
D;102;1120434;40;20040202 11:47;P;;;;;;
D;102;1120434;40;20040202 11:47;V;;;;;;
D;102;1120434;40;20040202 11:47;V;;;;;;
B;102;1121057;41;20040202 11:47;;;53;RETFORD RD;BOWRAL;2576;;;20031024;20031212;290000;A;R;RESIDENCE;;NC;;0;AA328759;
C;102;1121057;41;20040202 11:47;A//103641;
D;102;1121057;41;20040202 11:47;P;;;;;;
D;102;1121057;41;20040202 11:47;P;;;;;;
D;102;1121057;41;20040202 11:47;V;;;;;;
D;102;1121057;41;20040202 11:47;V;;;;;;
B;102;1121268;42;20040202 11:47;;;32;ROSEMARY CRES;BOWRAL;2576;1981;M;20031204;20040115;567500;A;R;RESIDENCE;;NA;;0;AA359756;
C;102;1121268;42;20040202 11:47;764//1007318;
D;102;1121268;42;20040202 11:47;P;;;;;;
D;102;1121268;42;20040202 11:47;P;;;;;;
D;102;1121268;42;20040202 11:47;V;;;;;;
B;102;1122081;43;20040202 11:47;;;69;SOUTHEY ST;MITTAGONG;2575;1011.7;M;20031106;20040113;355000;A;R;RESIDENCE;;LH;;0;AA356954;
C;102;1122081;43;20040202 11:47;37//355537;
D;102;1122081;43;20040202 11:47;P;;;;;;
D;102;1122081;43;20040202 11:47;P;;;;;;
D;102;1122081;43;20040202 11:47;P;;;;;;
D;102;1122081;43;20040202 11:47;V;;;;;;
D;102;1122081;43;20040202 11:47;V;;;;;;
B;102;1122576;44;20040202 11:47;;;29;SUNNINGHILL AVE;BURRADOO;2576;6070;M;20031118;20040112;1050000;A;R;RESIDENCE;;NQ;;0;AA329567;
C;102;1122576;44;20040202 11:47;1//588641;
D;102;1122576;44;20040202 11:47;P;;;;;;
D;102;1122576;44;20040202 11:47;P;;;;;;
D;102;1122576;44;20040202 11:47;V;;;;;;
B;102;1123345;45;20040202 11:47;;;100;THE ILLAWARRA HWY;ROBERTSON;2577;;;20030729;20030909;110000;A;V;VACANT LAND;;DU;;0;AA345476;
C;102;1123345;45;20040202 11:47;16, 17/1/12742;
D;102;1123345;45;20040202 11:47;P;;;;;;
D;102;1123345;45;20040202 11:47;P;;;;;;
D;102;1123345;45;20040202 11:47;V;;;;;;
B;102;1123346;46;20040202 11:47;;;102;THE ILLAWARRA HWY;ROBERTSON;2577;;;20030729;20030909;120000;A;V;VACANT LAND;;DU;;0;AA345530;
C;102;1123346;46;20040202 11:47;100//802904;
D;102;1123346;46;20040202 11:47;P;;;;;;
D;102;1123346;46;20040202 11:47;P;;;;;;
D;102;1123346;46;20040202 11:47;V;;;;;;
B;102;1123798;47;20040202 11:47;;;24;TOONGOON RD;BURRADOO;2576;2434;M;20030918;20031114;895000;A;R;RESIDENCE;;NQ;;0;AA354718;
C;102;1123798;47;20040202 11:47;21//13057;
