A;003;20040116 12:19;PDANN;
B;003;34883;25;20040116 12:19;;2;35;BREAM RD;ETTALONG BEACH;2257;;;20030918;20031023;400000;;R;RESIDENCE;2;;;0;AA303492;
C;003;34883;25;20040116 12:19;2//SP 58936;
D;003;34883;25;20040116 12:19;P;;;;;;
D;003;34883;25;20040116 12:19;P;;;;;;
D;003;34883;25;20040116 12:19;V;;;;;;
B;003;35446;26;20040116 12:19;;;159;BRISBANE WATER DR;POINT CLARE;2250;916.9;M;20031117;20031219;415000;A;R;RESIDENCE;;FD;;0;AA318885;
C;003;35446;26;20040116 12:19;2//157602;
D;003;35446;26;20040116 12:19;P;;;;;;
D;003;35446;26;20040116 12:19;P;;;;;;
D;003;35446;26;20040116 12:19;V;;;;;;
D;003;35446;26;20040116 12:19;V;;;;;;
B;003;35576;27;20040116 12:19;;;263;BRISBANE WATER DR;WEST GOSFORD;2250;828.3;M;20030818;20031219;420000;A;R;RESIDENCE;;FD;;0;AA298900;
C;003;35576;27;20040116 12:19;21//24491;
D;003;35576;27;20040116 12:19;P;;;;;;
D;003;35576;27;20040116 12:19;V;;;;;;
D;003;35576;27;20040116 12:19;V;;;;;;
B;003;35793;28;20040116 12:19;;8;70;BROADVIEW AVE;GOSFORD;2250;;;20031112;20031217;235000;;R;RESIDENCE;8;;;0;AA298526;
C;003;35793;28;20040116 12:19;8//SP 16623;
D;003;35793;28;20040116 12:19;P;;;;;;
D;003;35793;28;20040116 12:19;V;;;;;;
D;003;35793;28;20040116 12:19;V;;;;;;
B;003;36376;29;20040116 12:19;;4;25;BROUGHAM ST;EAST GOSFORD;2250;;;20031022;20031119;210000;;R;RESIDENCE;4;;;0;AA295010;
C;003;36376;29;20040116 12:19;4//SP 30585;
D;003;36376;29;20040116 12:19;P;;;;;;
D;003;36376;29;20040116 12:19;P;;;;;;
D;003;36376;29;20040116 12:19;P;;;;;;
D;003;36376;29;20040116 12:19;V;;;;;;
D;003;36376;29;20040116 12:19;V;;;;;;
B;003;37689;30;20040116 12:19;;;31;CAPE THREE PTS RD;AVOCA BEACH;2251;752.5;M;20031024;20031205;535000;A;R;RESIDENCE;;GA;;0;AA291571;
C;003;37689;30;20040116 12:19;8212//554645;
D;003;37689;30;20040116 12:19;P;;;;;;
D;003;37689;30;20040116 12:19;P;;;;;;
D;003;37689;30;20040116 12:19;V;;;;;;
B;003;37708;31;20040116 12:19;;3;10;CAPE THREE POINTS RD;AVOCA BEACH;2251;;;20030923;20031107;575000;;R;RESIDENCE;1;;;0;AA281545;
C;003;37708;31;20040116 12:19;1//SP 63220;
D;003;37708;31;20040116 12:19;P;;;;;;
D;003;37708;31;20040116 12:19;P;;;;;;
D;003;37708;31;20040116 12:19;V;;;;;;
B;003;38502;32;20040116 12:19;;;19;CASEY CRES;KARIONG;2250;494.9;M;20031031;20031128;410000;A;R;RESIDENCE;;FF;;0;AA315167;
C;003;38502;32;20040116 12:19;1325//814064;
D;003;38502;32;20040116 12:19;P;;;;;;
D;003;38502;32;20040116 12:19;P;;;;;;
D;003;38502;32;20040116 12:19;V;;;;;;
D;003;38502;32;20040116 12:19;V;;;;;;
B;003;38868;33;20040116 12:19;;;19;CHAPMAN CRES;AVOCA BEACH;2251;784.1;M;20031113;20031219;615000;A;R;RESIDENCE;;GA;;0;AA283237;
C;003;38868;33;20040116 12:19;24//224681;
D;003;38868;33;20040116 12:19;P;;;;;;
D;003;38868;33;20040116 12:19;P;;;;;;
D;003;38868;33;20040116 12:19;V;;;;;;
D;003;38868;33;20040116 12:19;V;;;;;;
B;003;43648;34;20040116 12:19;;;6;DELL RD;WEST GOSFORD;2250;2175;M;20030529;20030710;285000;I;V;VACANT LAND;;EF;;0;AA301746;
C;003;43648;34;20040116 12:19;3//1014753;
D;003;43648;34;20040116 12:19;P;;;;;;
D;003;43648;34;20040116 12:19;V;;;;;;
B;003;44671;35;20040116 12:19;;;59;DOROTHY AVE;WOY WOY;2256;442.6;M;20031031;20031212;340000;A;R;RESIDENCE;;FU;;0;AA285250;
C;003;44671;35;20040116 12:19;85/D/13328;
D;003;44671;35;20040116 12:19;P;;;;;;
D;003;44671;35;20040116 12:19;P;;;;;;
D;003;44671;35;20040116 12:19;V;;;;;;
D;003;44671;35;20040116 12:19;V;;;;;;
B;003;44680;36;20040116 12:19;;;77;DOROTHY AVE;WOY WOY;2256;442.6;M;20031117;20031219;450000;A;R;RESIDENCE;;FU;;0;AA303778;
C;003;44680;36;20040116 12:19;95/D/13328;
D;003;44680;36;20040116 12:19;P;;;;;;
D;003;44680;36;20040116 12:19;P;;;;;;
D;003;44680;36;20040116 12:19;V;;;;;;
D;003;44680;36;20040116 12:19;V;;;;;;
B;003;44740;37;20040116 12:19;;;57;DOVER RD;WAMBERAL;2260;746.1;M;20031201;20031219;445000;A;R;RESIDENCE;;GS;;0;AA283043;
C;003;44740;37;20040116 12:19;16//237884;
D;003;44740;37;20040116 12:19;P;;;;;;
D;003;44740;37;20040116 12:19;V;;;;;;
B;003;45300;38;20040116 12:19;;;44;DWYER ST;NORTH GOSFORD;2250;619.7;M;20031121;20031219;259000;A;R;RESIDENCE;;ML;;0;AA292216;
C;003;45300;38;20040116 12:19;2//21419;
D;003;45300;38;20040116 12:19;P;;;;;;
D;003;45300;38;20040116 12:19;P;;;;;;
D;003;45300;38;20040116 12:19;V;;;;;;
D;003;45300;38;20040116 12:19;V;;;;;;
B;003;45780;39;20040116 12:19;;;3;ELFIN HILL RD;GREEN POINT;2251;505.9;M;20031105;20031126;495000;A;R;RESIDENCE;;FJ;;0;AA289652;
C;003;45780;39;20040116 12:19;2//511563;
D;003;45780;39;20040116 12:19;P;;;;;;
D;003;45780;39;20040116 12:19;P;;;;;;
D;003;45780;39;20040116 12:19;P;;;;;;
D;003;45780;39;20040116 12:19;P;;;;;;
D;003;45780;39;20040116 12:19;V;;;;;;
B;003;46501;40;20040116 12:19;;3;28;ENA ST;TERRIGAL;2260;;;20031113;20031212;451000;;R;RESIDENCE;3;;;0;AA318441;
C;003;46501;40;20040116 12:19;3//SP 47523;
D;003;46501;40;20040116 12:19;P;;;;;;
D;003;46501;40;20040116 12:19;P;;;;;;
D;003;46501;40;20040116 12:19;V;;;;;;
B;003;46785;41;20040116 12:19;;;202 A;HENRY PARRY DR;GOSFORD;2250;689.2;M;20031017;20031218;395000;A;R;RESIDENCE;;MJ;;0;AA283862;
C;003;46785;41;20040116 12:19;12//11549;
D;003;46785;41;20040116 12:19;P;;;;;;
D;003;46785;41;20040116 12:19;V;;;;;;
B;003;46879;42;20040116 12:19;;;8;BROOKS AVE;WYOMING;2250;3155;M;20030327;20030502;700000;I;3;SQUASH COURTS;;EH;;0;AA296902;
C;003;46879;42;20040116 12:19;102//1015860;
D;003;46879;42;20040116 12:19;P;;;;;;
D;003;46879;42;20040116 12:19;V;;;;;;
B;003;47012;43;20040116 12:19;;;11;EYERS CL;KARIONG;2250;3292;M;20030314;20030630;1250000;A;3;DAYCARE CENTR;;FF;;0;AA302047;
C;003;47012;43;20040116 12:19;2//849778;
D;003;47012;43;20040116 12:19;P;;;;;;
D;003;47012;43;20040116 12:19;P;;;;;;
D;003;47012;43;20040116 12:19;V;;;;;;
D;003;47012;43;20040116 12:19;V;;;;;;
B;003;47173;44;20040116 12:19;;;15;FAIRVIEW ST;WOY WOY;2256;495.3;M;20031121;20031218;275000;A;R;RESIDENCE;;FU;;0;AA288649;
C;003;47173;44;20040116 12:19;32//7926;
D;003;47173;44;20040116 12:19;P;;;;;;
D;003;47173;44;20040116 12:19;P;;;;;;
D;003;47173;44;20040116 12:19;V;;;;;;
B;003;47601;45;20040116 12:19;;;14;FIESTA CRES;COPACABANA;2251;556.4;M;20031104;20031209;550000;A;R;RESIDENCE;;FT;;0;AA301523;
C;003;47601;45;20040116 12:19;362//29263;
D;003;47601;45;20040116 12:19;P;;;;;;
D;003;47601;45;20040116 12:19;V;;;;;;
B;003;48477;46;20040116 12:19;;;64;FRASER RD;KILLCARE;2257;1480;M;20031105;20031218;470000;P;R;RESIDENCE;;PK;;0;AA298138;
C;003;48477;46;20040116 12:19;201//828269;
D;003;48477;46;20040116 12:19;P;;;;;;
D;003;48477;46;20040116 12:19;P;;;;;;
D;003;48477;46;20040116 12:19;V;;;;;;
D;003;48477;46;20040116 12:19;V;;;;;;
B;003;49647;47;20040116 12:19;;;82;GILDA DR;NARARA;2250;936.6;M;20030802;20031003;363500;A;R;RESIDENCE;;GK;;0;AA317051;
C;003;49647;47;20040116 12:19;6//247011;
D;003;49647;47;20040116 12:19;P;;;;;;
D;003;49647;47;20040116 12:19;P;;;;;;
D;003;49647;47;20040116 12:19;V;;;;;;
B;003;49928;48;20040116 12:19;;;6;GLENCOE AVE;WYOMING;2250;1024;M;20031114;20031114;310000;A;R;RESIDENCE;;FB;;0;AA290593;
C;003;49928;48;20040116 12:19;7//20232;
D;003;49928;48;20040116 12:19;P;;;;;;
D;003;49928;48;20040116 12:19;P;;;;;;
D;003;49928;48;20040116 12:19;V;;;;;;
D;003;49928;48;20040116 12:19;V;;;;;;
B;003;49934;49;20040116 12:19;;;20;GLENCOE AVE;WYOMING;2250;474.2;M;20031018;20031217;360000;A;R;RESIDENCE;;FB;;0;AA316699;
C;003;49934;49;20040116 12:19;4//224724;
D;003;49934;49;20040116 12:19;P;;;;;;
D;003;49934;49;20040116 12:19;P;;;;;;
D;003;49934;49;20040116 12:19;V;;;;;;
B;003;50660;50;20040116 12:19;;;24;GOLDEN GROVE CCT;TERRIGAL;2260;700.7;M;20031105;20031203;527000;A;R;RESIDENCE;;GQ;;0;AA289668;
C;003;50660;50;20040116 12:19;139//785486;
D;003;50660;50;20040116 12:19;P;;;;;;
D;003;50660;50;20040116 12:19;P;;;;;;
D;003;50660;50;20040116 12:19;V;;;;;;
D;003;50660;50;20040116 12:19;V;;;;;;
B;003;51216;51;20040116 12:19;;;42;GREENHAVEN DR;UMINA BEACH;2257;606.3;M;20031022;20031203;360000;A;R;RESIDENCE;;FU;;0;AA296877;
C;003;51216;51;20040116 12:19;54//246906;
D;003;51216;51;20040116 12:19;P;;;;;;
D;003;51216;51;20040116 12:19;V;;;;;;
B;003;52350;52;20040116 12:19;;;10;HARRISON ST;POINT FREDERICK;2250;1043;M;20031115;20031216;760000;A;R;RESIDENCE;;GH;;0;AA283549;
C;003;52350;52;20040116 12:19;5//37991;
D;003;52350;52;20040116 12:19;P;;;;;;
D;003;52350;52;20040116 12:19;P;;;;;;
D;003;52350;52;20040116 12:19;V;;;;;;
B;003;53372;53;20040116 12:19;;;12;HEIGHTS CRES;WAMBERAL;2260;524.8;M;20030912;20031212;490000;A;R;RESIDENCE;;GT;;0;AA287008;
C;003;53372;53;20040116 12:19;211//30360;
D;003;53372;53;20040116 12:19;P;;;;;;
D;003;53372;53;20040116 12:19;V;;;;;;
D;003;53372;53;20040116 12:19;V;;;;;;
B;003;54170;54;20040116 12:19;;;39;HENZEL RD;GREEN POINT;2251;713.9;M;20030820;20031003;555000;A;R;RESIDENCE;;FJ;;0;AA279757;
C;003;54170;54;20040116 12:19;433//818160;
D;003;54170;54;20040116 12:19;P;;;;;;
D;003;54170;54;20040116 12:19;P;;;;;;
D;003;54170;54;20040116 12:19;V;;;;;;
D;003;54170;54;20040116 12:19;V;;;;;;
B;003;55198;55;20040116 12:19;;;26;HOLCOMBE AVE;NARARA;2250;600.7;M;20031117;20031219;370000;A;R;RESIDENCE;;GK;;0;AA309091;
C;003;55198;55;20040116 12:19;50//240638;
D;003;55198;55;20040116 12:19;P;;;;;;
D;003;55198;55;20040116 12:19;P;;;;;;
D;003;55198;55;20040116 12:19;V;;;;;;
D;003;55198;55;20040116 12:19;V;;;;;;
B;003;55373;56;20040116 12:19;;;25;HONEYSUCKLE ST;UMINA BEACH;2257;607;M;20031028;20031218;370000;A;R;RESIDENCE;;FU;;0;AA292914;
C;003;55373;56;20040116 12:19;16//26224;
D;003;55373;56;20040116 12:19;P;;;;;;
D;003;55373;56;20040116 12:19;P;;;;;;
D;003;55373;56;20040116 12:19;V;;;;;;
D;003;55373;56;20040116 12:19;V;;;;;;
B;003;55892;57;20040116 12:19;;;74;ILYA AVE;ERINA;2250;552.7;M;20031009;20031128;386000;A;R;RESIDENCE;;FJ;;0;AA282501;
C;003;55892;57;20040116 12:19;232//807105;
D;003;55892;57;20040116 12:19;P;;;;;;
D;003;55892;57;20040116 12:19;V;;;;;;
D;003;55892;57;20040116 12:19;V;;;;;;
B;003;56659;58;20040116 12:19;;;5;JARRETT ST;NORTH GOSFORD;2250;695.6;M;20031106;20031204;325472;A;R;RESIDENCE;;FC;;0;AA313209;
C;003;56659;58;20040116 12:19;3//233096;
D;003;56659;58;20040116 12:19;P;;;;;;
D;003;56659;58;20040116 12:19;P;;;;;;
D;003;56659;58;20040116 12:19;V;;;;;;
D;003;56659;58;20040116 12:19;V;;;;;;
B;003;56808;59;20040116 12:19;;2;5;JENNIE COX CL;ERINA;2250;;;20031111;20031222;330000;;R;RESIDENCE;2;;;0;AA317017;
C;003;56808;59;20040116 12:19;2//SP 57463;
D;003;56808;59;20040116 12:19;P;;;;;;
D;003;56808;59;20040116 12:19;V;;;;;;
