A;138;20040901 11:25;PDANN;
D;138;1421079;43;20040901 11:25;P;;;;;;
D;138;1421079;43;20040901 11:25;P;;;;;;
D;138;1421079;43;20040901 11:25;P;;;;;;
D;138;1421079;43;20040901 11:25;V;;;;;;
B;138;1421414;44;20040901 11:25;;;54;HIGHLAND CRES;EARLWOOD;2206;632.3;M;20040505;20040630;890000;A;R;RESIDENCE;;XD;;0;AA859468;
C;138;1421414;44;20040901 11:25;28/206043;
D;138;1421414;44;20040901 11:25;P;;;;;;
D;138;1421414;44;20040901 11:25;P;;;;;;
D;138;1421414;44;20040901 11:25;P;;;;;;
D;138;1421414;44;20040901 11:25;V;;;;;;
B;138;1421617;45;20040901 11:25;;3;26;HILL ST;CAMPSIE;2194;;;20040629;20040723;269000;;R;RESIDENCE;3;;;0;AA903194;
C;138;1421617;45;20040901 11:25;3/SP 10852;
D;138;1421617;45;20040901 11:25;P;;;;;;
D;138;1421617;45;20040901 11:25;V;;;;;;
D;138;1421617;45;20040901 11:25;V;;;;;;
B;138;1422017;46;20040901 11:25;;4;3;HOLLAND PL;LAKEMBA;2195;;;20040529;20040806;170000;;R;RESIDENCE;4;;;0;AA882020;
C;138;1422017;46;20040901 11:25;4/SP 2678;
D;138;1422017;46;20040901 11:25;P;;;;;;
D;138;1422017;46;20040901 11:25;V;;;;;;
B;138;1422017;47;20040901 11:25;;4;3;HOLLAND PL;LAKEMBA;2195;;;20040529;20040806;170000;;R;RESIDENCE;10;;;0;AA882020;
C;138;1422017;47;20040901 11:25;10/SP 2678;
D;138;1422017;47;20040901 11:25;P;;;;;;
D;138;1422017;47;20040901 11:25;V;;;;;;
B;138;1422161;48;20040901 11:25;;;475;HOMER ST;EARLWOOD;2206;467.9;M;20040628;20040809;555000;A;R;RESIDENCE;;AK;;0;AA877431;
C;138;1422161;48;20040901 11:25;21/18866;
D;138;1422161;48;20040901 11:25;P;;;;;;
D;138;1422161;48;20040901 11:25;V;;;;;;
D;138;1422161;48;20040901 11:25;V;;;;;;
B;138;1424288;49;20040901 11:25;;3;22;KATHLEEN ST;LAKEMBA;2195;;;20040630;20040811;205000;;R;RESIDENCE;3;;;0;AA890774;
C;138;1424288;49;20040901 11:25;3/SP 9181;
D;138;1424288;49;20040901 11:25;P;;;;;;
D;138;1424288;49;20040901 11:25;V;;;;;;
D;138;1424288;49;20040901 11:25;V;;;;;;
B;138;1424479;50;20040901 11:25;;;6;KEITH ST;EARLWOOD;2206;;;20040701;20040812;635000;A;R;RESIDENCE;;XE;;0;AA887910;
C;138;1424479;50;20040901 11:25;31/13500;
D;138;1424479;50;20040901 11:25;P;;;;;;
D;138;1424479;50;20040901 11:25;V;;;;;;
D;138;1424479;50;20040901 11:25;V;;;;;;
D;138;1424479;50;20040901 11:25;V;;;;;;
B;138;1424802;51;20040901 11:25;;5;54;KILBRIDE ST;CANTERBURY;2193;;;20040702;20040809;470000;;R;RESIDENCE;5;;;0;AA872745;
C;138;1424802;51;20040901 11:25;5/SP 17377;
D;138;1424802;51;20040901 11:25;P;;;;;;
D;138;1424802;51;20040901 11:25;V;;;;;;
B;138;1424802;52;20040901 11:25;;6;54;KILBRIDE ST;CANTERBURY;2193;;;20040625;20040625;475000;;R;RESIDENCE;6;;;0;AA883734;
C;138;1424802;52;20040901 11:25;6/SP 17377;
D;138;1424802;52;20040901 11:25;P;;;;;;
D;138;1424802;52;20040901 11:25;P;;;;;;
D;138;1424802;52;20040901 11:25;V;;;;;;
B;138;1425883;53;20040901 11:25;;;8;KYLIE PDE;PUNCHBOWL;2196;588.1;M;20040611;20040806;472000;A;R;RESIDENCE;;AP;;0;AA898138;
C;138;1425883;53;20040901 11:25;45/35982;
D;138;1425883;53;20040901 11:25;P;;;;;;
D;138;1425883;53;20040901 11:25;V;;;;;;
B;138;1426561;54;20040901 11:25;;;12;LAWN AVE;CLEMTON PARK;2206;;;20040703;20040816;635000;A;R;RESIDENCE;;XK;;0;AA900849;
C;138;1426561;54;20040901 11:25;48/15126;
D;138;1426561;54;20040901 11:25;P;;;;;;
D;138;1426561;54;20040901 11:25;P;;;;;;
D;138;1426561;54;20040901 11:25;V;;;;;;
D;138;1426561;54;20040901 11:25;V;;;;;;
D;138;1426561;54;20040901 11:25;V;;;;;;
B;138;1426829;55;20040901 11:25;;;64;LEOPOLD ST;ASHBURY;2193;;;20040618;20040730;850000;A;R;RESIDENCE;;AC;;0;AA888956;
C;138;1426829;55;20040901 11:25;5/16233;
D;138;1426829;55;20040901 11:25;P;;;;;;
D;138;1426829;55;20040901 11:25;P;;;;;;
D;138;1426829;55;20040901 11:25;V;;;;;;
D;138;1426829;55;20040901 11:25;V;;;;;;
B;138;1427455;56;20040901 11:25;;;37;LINDA ST;BELFIELD;2191;;;20040621;20040818;480000;A;R;RESIDENCE;;XM;;0;AA904226;
C;138;1427455;56;20040901 11:25;19/G/9099;
D;138;1427455;56;20040901 11:25;P;;;;;;
D;138;1427455;56;20040901 11:25;P;;;;;;
D;138;1427455;56;20040901 11:25;V;;;;;;
D;138;1427455;56;20040901 11:25;V;;;;;;
D;138;1427455;56;20040901 11:25;V;;;;;;
B;138;1427627;57;20040901 11:25;;;26;LOCH ST;CAMPSIE;2194;385.7;M;20040531;20040811;400000;A;R;RESIDENCE;;MB;;0;AA884197;
C;138;1427627;57;20040901 11:25;C/381238;
D;138;1427627;57;20040901 11:25;P;;;;;;
D;138;1427627;57;20040901 11:25;V;;;;;;
D;138;1427627;57;20040901 11:25;V;;;;;;
B;138;1427709;58;20040901 11:25;;;17;LOFTS AVE;ROSELANDS;2196;474.2;M;20040609;20040804;418000;A;R;RESIDENCE;;XR;;0;AA872720;
C;138;1427709;58;20040901 11:25;17/217159;
D;138;1427709;58;20040901 11:25;P;;;;;;
D;138;1427709;58;20040901 11:25;P;;;;;;
D;138;1427709;58;20040901 11:25;V;;;;;;
B;138;1427844;59;20040901 11:25;;9;2;LONDON ST;CAMPSIE;2194;;;20040712;20040823;215000;;R;RESIDENCE;9;;;0;AA909228;
C;138;1427844;59;20040901 11:25;9/SP 9471;
D;138;1427844;59;20040901 11:25;P;;;;;;
D;138;1427844;59;20040901 11:25;P;;;;;;
D;138;1427844;59;20040901 11:25;V;;;;;;
B;138;1427844;60;20040901 11:25;;9;2;LONDON ST;CAMPSIE;2194;;;20040712;20040823;215000;;R;RESIDENCE;33;;;0;AA909228;
C;138;1427844;60;20040901 11:25;33/SP 9471;
D;138;1427844;60;20040901 11:25;P;;;;;;
D;138;1427844;60;20040901 11:25;P;;;;;;
D;138;1427844;60;20040901 11:25;V;;;;;;
B;138;1427900;61;20040901 11:25;;9;5;LONDON ST;CAMPSIE;2194;;;20040628;20040809;300000;;R;RESIDENCE;9;;;0;AA882242;
C;138;1427900;61;20040901 11:25;9/SP 9215;
D;138;1427900;61;20040901 11:25;P;;;;;;
D;138;1427900;61;20040901 11:25;V;;;;;;
B;138;1428137;62;20040901 11:25;;;58;LUDGATE ST;ROSELANDS;2196;;;20040625;20040806;555000;A;R;RESIDENCE;;XR;;0;AA883558;
C;138;1428137;62;20040901 11:25;3/16230;
D;138;1428137;62;20040901 11:25;P;;;;;;
D;138;1428137;62;20040901 11:25;P;;;;;;
D;138;1428137;62;20040901 11:25;V;;;;;;
B;138;1428379;63;20040901 11:25;;10;69;MACDONALD ST;LAKEMBA;2195;;;20040705;20040705;228000;;R;RESIDENCE;10;;;0;AA872595;
C;138;1428379;63;20040901 11:25;10/SP 5451;
D;138;1428379;63;20040901 11:25;P;;;;;;
D;138;1428379;63;20040901 11:25;V;;;;;;
D;138;1428379;63;20040901 11:25;V;;;;;;
B;138;1428379;64;20040901 11:25;;22;69;MACDONALD ST;LAKEMBA;2195;;;20040705;20040705;228000;;R;RESIDENCE;22;;;0;AA872595;
C;138;1428379;64;20040901 11:25;22/SP 5451;
D;138;1428379;64;20040901 11:25;P;;;;;;
D;138;1428379;64;20040901 11:25;V;;;;;;
D;138;1428379;64;20040901 11:25;V;;;;;;
B;138;1428646;65;20040901 11:25;;6;36;MACDONALD ST;LAKEMBA;2195;;;20040626;20040809;175000;;R;RESIDENCE;6;;;0;AA886334;
C;138;1428646;65;20040901 11:25;6/SP 30084;
D;138;1428646;65;20040901 11:25;P;;;;;;
D;138;1428646;65;20040901 11:25;V;;;;;;
B;138;1428655;66;20040901 11:25;;3;38;MACDONALD ST;LAKEMBA;2195;;;20040508;20040615;194500;;R;RESIDENCE;3;;;0;AA880228;
C;138;1428655;66;20040901 11:25;3/SP 7907;
